X,Y,numero_pessoas
325773,7392222,3
325773,7392222,1
332908,7389537,1
334099,7396961,2
334099,7396961,1
365732,7396572,2
365732,7396572,1
333168,7396050,3
332545,7395573,1
332545,7395573,1
333093,7395708,2
335749,7402551,2
333179,7395306,4
333179,7395306,1
332393,7396071,4
332475,7395784,1
334446,7396457,2
332318,7396577,4
332318,7396577,1
331482,7392910,9
331482,7392910,1
332647,7395760,2
332647,7395760,1
340701,7392189,1
340701,7392189,1
332825,7395723,1
332825,7395723,1
333064,7395684,1
333064,7395684,1
336475,7395334,1
336475,7395334,1
330111,7392144,1
330111,7392144,1
330276,7392252,1
330276,7392252,1
332773,7395583,1
332773,7395583,1
332731,7395753,2
331345,7394395,1
331345,7394395,1
332926,7395741,1
332926,7395741,1
333386,7395221,1
333386,7395221,1
333627,7398476,5
333627,7398476,1
332426,7395350,8
332426,7395350,1
332584,7395911,3
331424,7397599,3
331424,7397599,1
332771,7395802,1
332771,7395802,1
332330,7395657,2
325625,7392239,1
325625,7392239,1
330783,7395412,14
330783,7395412,1
332679,7396205,1
332506,7396319,1
332506,7396319,1
334238,7396530,7
334238,7396530,1
332608,7396230,1
333958,7395523,1
333958,7395523,1
332615,7396222,1
333415,7395782,1
333415,7395782,1
334032,7396315,2
334546,7396848,1
334546,7396848,1
333920,7396102,5
330671,7392168,1
330671,7392168,1
334478,7396606,1
334478,7396606,1
333917,7396361,3
326007,7397814,1
326007,7397814,1
337754,7398435,1
333357,7396190,1
333357,7396190,1
333975,7396272,2
333975,7396272,1
333293,7396614,2
333293,7396614,1
333591,7394828,3
333591,7394828,1
334321,7396341,4
334321,7396341,1
334079,7397394,1
334079,7397394,1
333834,7396179,2
333413,7395747,2
333413,7395747,1
333561,7395723,1
333561,7395723,1
333357,7395690,2
333357,7395690,1
334010,7396313,2
334010,7396313,1
334871,7400981,2
334871,7400981,1
333945,7396151,3
333964,7396142,2
333964,7396142,1
333643,7396368,4
333643,7396368,1
325868,7398112,2
325868,7398112,1
332786,7397146,1
332807,7397211,2
331759,7388798,6
331759,7388798,1
332568,7391431,1
332077,7394327,1
332276,7395193,1
332276,7395193,1
333239,7397010,1
333239,7397010,1
333330,7397034,1
332869,7397350,3
332869,7397350,1
334551,7400100,1
334551,7400100,1
327957,7404953,1
327957,7404953,1
333834,7396358,1
333835,7396359,1
329148,7391397,1
329148,7391397,1
333633,7396418,2
334185,7396378,1
334185,7396378,1
333728,7396387,2
333728,7396387,1
334570,7396490,10
334570,7396490,1
333936,7396155,3
333464,7396404,2
333464,7396404,1
333942,7396430,5
333476,7395073,1
333476,7395073,1
336369,7402475,15
336369,7402475,1
333776,7396198,2
333048,7396904,7
