X,Y,numero_pessoas
334613,7395219,1
334845,7396100,4
333172,7393512,1
335206,7397645,1
327721,7391798,2
336061,7397257,1
336061,7397257,1
336001,7397283,4
334448,7395314,4
334448,7395314,1
340249,7396006,2
335866,7397072,3
344322,7398945,1
335707,7397234,1
335406,7396489,1
335904,7396438,2
335987,7397273,4
335987,7397273,1
335022,7395409,1
335755,7397049,1
334609,7397039,1
334692,7397258,3
328949,7393199,1
334455,7396521,1
334292,7396964,1
334183,7396486,1
334232,7396872,1
334232,7396872,1
334244,7396490,1
334244,7396489,1
341771,7397341,6
334322,7396856,3
334104,7399379,2
331357,7397203,1
331357,7397203,1
332734,7395857,1
334737,7397000,1
334276,7396669,1
334956,7396639,2
335295,7395802,1
335466,7397065,2
335477,7397079,1
335477,7397079,1
334377,7396341,1
334431,7396230,1
335017,7397448,1
335085,7396816,2
334035,7396435,1
335171,7396919,1
334766,7396619,1
335258,7397191,1
335316,7396564,4
331156,7393700,34
335165,7397433,1
335285,7397326,1
334108,7397790,6
335692,7396967,2
332480,7395053,1
332143,7395206,4
334488,7396151,2
335239,7397285,6
335239,7397285,1
